Origin,Acc_exponential,Acc_cumulative
110601001,264110.48206746357,546771
110601002,261098.9157011241,546771
110601003,250224.07528158466,544137
110601004,254520.80364177754,545333
110601005,253874.46261702862,545333
110601006,260806.58567169105,546771
110601007,259149.42693909345,545333
110601008,245888.85960262295,537234
110601009,248761.3430118153,539188
110601010,257186.59784792832,545333
110601011,252297.01477328665,541526
110601012,249457.87132998233,537730
110601013,255023.56075061136,540859
110601014,248143.48266632273,538955
110601015,250510.5389807707,539591
110601016,247230.10808127082,535579
110601017,252802.3523950475,538955
110601018,246599.66930659825,536351
110601019,245131.64532380213,533489
110601020,242310.69508584606,531301
110601021,243094.9803122489,530922
110601022,245625.49605522532,532352
110601023,245031.348650482,531301
110601024,257001.68047457858,543667
110601025,243263.04874563692,530922
110601026,246772.9045511569,534739
110601027,247591.96466047724,533477
110601028,243797.78849531134,530922
110601029,244479.69622241906,532352
110601030,248414.44437124094,535579
110602001,265195.4930886522,546771
110602002,293718.00755291485,547733
110602003,281597.75670422433,547733
110602004,276167.1152480709,547733
110602005,279831.13828463125,547733
110602006,262207.8029168508,545333
110602007,279094.24759116344,547733
110602008,276713.8210274094,547733
110602009,284190.5383291773,547733
110602010,271397.23630502465,547733
110602011,265801.2903117127,546771
110602012,262132.21534250354,545333
110602013,276304.85999869765,547733
110602014,261981.4860481795,545333
110602015,251293.10131705532,543667
110602016,262387.8644931357,545333
110602017,260005.12115766227,545333
110602018,259199.2104162724,545333
110602019,254590.41371374097,543667
110602020,254325.86458972772,543667
110602021,262298.242231087,545333
110602022,260666.0758340403,545333
110602023,252589.59924162182,538955
110602024,260764.1384894206,545333
110602025,245184.99501573405,537531
110602026,248613.314666574,536912
110602027,248013.90908085337,537531
110603001,292676.4993835289,547002
110603002,306225.6621446143,547002
110603003,292901.68947961717,547002
110603004,290054.8702108091,546461
110603005,300622.73626943666,547002
110603006,291988.31171670137,546461
110603007,305081.90079483495,547002
110603008,295945.64483069966,547002
110603009,294771.1852852859,546461
110603010,299383.1590757054,547002
110603011,291681.81387457723,546461
110603012,296641.478039399,547002
110603013,303446.6873085426,547002
110603014,293596.63367630326,546461
110603015,292146.41029314906,546461
110603016,294984.9508675758,546461
110603017,295026.93288240035,546461
110603018,297087.52305241453,547002
110603019,295929.3155880678,546461
110604001,304018.73979724327,547002
110604002,301336.45086838043,547002
110604003,307613.8163744231,547002
110604004,299039.7001055915,547002
110604005,306342.63961771753,547002
110604006,304344.0843493023,547002
110604007,303420.0270194284,547002
110604008,306618.9770038553,547002
110604009,311100.6715930337,547002
110604010,302436.4807016153,547002
110604011,305497.3964080657,547002
110604012,316610.3577469862,547733
110604013,312655.0727140712,547733
110604014,305644.5511895977,547002
110604015,299421.35999955295,547002
110604016,308681.5049297819,547002
