Destination_Code,Residents
110601001,476
110601002,814
110601003,639
110601004,817
110601005,568
110601006,531
110601007,845
110601008,401
110601009,782
110601010,481
110601011,418
110601012,446
110601013,549
110601014,635
110601015,331
110601016,484
110601017,409
110601018,393
110601019,553
110601020,561
110601021,415
110601022,462
110601023,491
110601024,373
110601025,478
110601026,366
110601027,441
110601028,453
110601029,464
110601030,508
110602001,517
110602002,617
110602003,561
110602004,475
110602005,632
110602006,418
110602007,576
110602008,458
110602009,553
110602010,387
110602011,437
110602012,587
110602013,550
110602014,472
110602015,833
110602016,561
110602017,436
110602018,494
110602019,490
110602020,542
110602021,557
110602022,428
110602023,632
110602024,500
110602025,492
110602026,405
110602027,333
110603001,198
110603002,774
110603003,554
110603004,721
110603005,554
110603006,487
110603007,397
110603008,1247
110603009,504
110603010,566
110603011,460
110603012,606
110603013,453
110603014,487
110603015,503
110603016,380
110603017,394
110603018,556
110603019,492
110604001,732
110604002,827
110604003,406
110604004,598
110604005,415
110604006,499
110604007,667
110604008,564
110604009,204
110604010,583
110604011,493
110604012,427
110604013,572
110604014,451
110604015,567
110604016,407
110604017,457
110605001,571
110605002,236
110605003,120
110605004,400
110605005,872
110605006,570
110605007,673
110605008,768
110605009,208
110605010,620
110605011,692
110605012,783
110605013,407
110605014,487
110605015,707
110605016,656
110605017,590
110605018,469
110605019,512
110605020,452
110605021,358
110605022,712
110606001,444
110606002,438
110606003,620
110606004,360
110606005,312
110606006,373
110606007,514
110606008,453
110606009,652
110606010,539
110606011,470
110606012,523
110606013,510
110606014,542
110606015,628
110606016,514
110606017,695
110606018,407
110606019,367
110607001,538
110607002,584
110607003,656
110607004,392
110607005,583
110607006,587
110607007,673
110607008,392
110607009,414
110607010,404
110607011,592
110607012,548
110607013,484
110607014,641
110607015,855
110607016,514
110607017,468
110607018,395
110607019,442
110607020,485
110607021,560
110607022,372
110607023,403
110607024,447
110608001,324
110608002,460
110608003,627
110608004,376
110608005,704
110608006,501
110608007,399
110608008,546
110608009,691
110608010,406
110608011,708
110608012,496
110608013,514
110608014,459
110608015,313
110608016,436
110608017,641
110608018,758
110608019,442
110608020,490
110608021,855
110608022,522
110608023,505
110608024,501
110608025,520
110608026,645
110608027,469
110608028,545
110608029,503
110608030,599
110608031,468
110608032,468
110608033,412
110608034,618
110608035,601
110608036,595
110608037,630
110608038,596
110608039,545
110608040,567
110608041,906
110608042,474
110608043,493
110608044,710
110608045,499
110608046,423
110608047,582
110608048,264
110608049,548
110608050,367
110608051,445
110608052,490
110608053,695
110608054,640
110608055,630
110608056,572
110608057,565
110608058,321
110608059,556
110608060,600
110608061,358
110608062,1386
110608063,516
110608064,830
110608065,820
110608066,676
110609001,520
110609002,1099
110609003,573
110609004,689
110609005,511
110609006,887
110609007,714
110609008,552
110609009,779
110609010,331
110609011,364
110609012,302
110609013,399
110609014,671
110609015,386
110609016,470
110609017,360
110609018,390
110609019,517
110610001,480
110610002,388
110610003,545
110610004,250
110610005,339
110610006,309
110610007,1049
110610008,423
110610009,527
110610010,164
110610011,56
110610012,787
110610013,524
110610014,659
110610015,832
110610016,493
110610017,477
110610018,381
110610019,537
110610020,414
110610021,432
110610022,465
110610023,486
110610024,523
110610025,430
110610026,450
110610027,479
110610028,470
110610029,627
110610030,433
110610031,436
110610032,595
110611001,549
110611002,703
110611003,957
110611004,534
110611005,712
110611006,888
110611007,713
110611008,33
110611009,720
110611010,659
110611011,703
110611012,585
110611013,876
110611014,639
110611015,420
110611016,791
110611017,450
110611018,497
110611019,961
110611020,892
110611021,615
110611022,708
110611023,934
110611024,672
110611025,787
110611026,645
110611027,831
110611028,330
110611029,873
110611030,539
110611031,576
110611032,534
110611033,698
110611034,634
110611035,658
110612001,355
110613001,883
110613002,608
110613003,810
110613004,582
110613005,323
110613006,438
110613007,753
110613008,733
110613009,800
110613010,860
110613011,783
110613012,927
110613013,775
110613014,660
110614001,254
110614002,162
110614003,252
110614004,353
110614005,357
110614006,301
110614007,357
110614008,96
110614009,494
110614010,464
110614011,130
110614012,327
110614013,142
110615001,277
110615002,270
110615003,299
110615004,209
110615005,409
110615006,295
110615007,493
110616001,579
110616002,563
110616003,588
110616004,507
110616005,418
110616006,490
110616007,397
110616008,396
110616009,444
110616010,393
110616011,460
110616012,552
110617001,514
110617002,341
110617003,368
110617004,582
110617005,450
110617006,541
110617007,419
110617008,511
110617009,540
110617010,686
110617011,482
110617012,534
110617013,618
110617014,575
110617015,510
110617016,329
110618001,382
110618002,322
110618003,377
110618004,482
110618005,562
110618006,712
110618007,747
110618008,591
110618009,404
110618010,664
110618011,793
110618012,0
110618013,449
110618014,801
110618015,658
110618016,482
110618017,853
110618018,860
